file,time_in_seconds,solution_size,recursive_steps,finished,solution_size_verified
random/000002_000000000002.input,0.04s,0,0,1,correct
random/000002_000000000006.input,0.03s,1,0,1,correct
random/000002_000000000012.input,0.03s,2,0,1,correct
random/000002_000000000020.input,0.04s,2,0,1,correct
random/000004_000000000004.input,0.03s,0,0,1,correct
random/000004_000000000012.input,0.03s,4,0,1,correct
random/000004_000000000024.input,0.04s,4,0,1,correct
random/000004_000000000040.input,0.03s,4,0,1,correct
random/000006_000000000007.input,0.03s,1,0,1,correct
random/000006_000000000018.input,0.04s,4,0,1,correct
random/000006_000000000036.input,0.03s,4,0,1,correct
random/000006_000000000060.input,0.03s,5,0,1,correct
random/000008_000000000009.input,0.02s,1,0,1,correct
random/000008_000000000024.input,0.03s,5,0,1,correct
random/000008_000000000048.input,0.03s,7,0,1,correct
random/000008_000000000080.input,0.03s,7,0,1,correct
random/000010_000000000012.input,0.03s,2,0,1,correct
random/000010_000000000030.input,0.03s,8,0,1,correct
random/000010_000000000060.input,0.03s,10,0,1,correct
random/000010_000000000100.input,0.03s,10,0,1,correct
random/000012_000000000014.input,0.04s,1,0,1,correct
random/000012_000000000036.input,0.03s,10,0,1,correct
random/000012_000000000072.input,0.03s,11,0,1,correct
random/000012_000000000120.input,0.03s,11,0,1,correct
random/000014_000000000016.input,0.03s,2,0,1,correct
random/000014_000000000042.input,0.03s,8,0,1,correct
random/000014_000000000084.input,0.03s,13,0,1,correct
random/000014_000000000140.input,0.03s,13,0,1,correct
random/000016_000000000019.input,0.03s,1,0,1,correct
random/000016_000000000048.input,0.03s,11,0,1,correct
random/000016_000000000096.input,0.03s,15,0,1,correct
random/000016_000000000160.input,0.03s,15,0,1,correct
random/000018_000000000021.input,0.03s,2,0,1,correct
random/000018_000000000054.input,0.03s,11,0,1,correct
random/000018_000000000108.input,0.03s,15,0,1,correct
random/000018_000000000180.input,0.04s,17,0,1,correct
random/000020_000000000024.input,0.03s,2,0,1,correct
random/000020_000000000060.input,0.03s,15,0,1,correct
random/000020_000000000120.input,0.03s,18,0,1,correct
random/000020_000000000200.input,0.03s,18,0,1,correct
random/000022_000000000026.input,0.03s,3,0,1,correct
random/000022_000000000066.input,0.03s,15,0,1,correct
random/000022_000000000132.input,0.03s,19,0,1,correct
random/000022_000000000220.input,0.03s,20,0,1,correct
random/000024_000000000028.input,0.03s,4,0,1,correct
random/000024_000000000072.input,0.04s,12,0,1,correct
random/000024_000000000144.input,0.03s,22,0,1,correct
random/000024_000000000240.input,0.03s,22,0,1,correct
random/000026_000000000031.input,0.03s,5,0,1,correct
random/000026_000000000078.input,0.03s,20,0,1,correct
random/000026_000000000156.input,0.03s,23,0,1,correct
random/000026_000000000260.input,0.03s,25,0,1,correct
random/000028_000000000033.input,0.04s,4,0,1,correct
random/000028_000000000084.input,0.03s,20,0,1,correct
random/000028_000000000168.input,0.03s,26,0,1,correct
random/000028_000000000280.input,0.03s,22,0,1,correct
random/000030_000000000036.input,0.03s,5,0,1,correct
random/000030_000000000090.input,0.06s,21,0,1,correct
random/000030_000000000180.input,0.03s,27,0,1,correct
random/000030_000000000300.input,0.04s,25,0,1,correct
random/000035_000000000042.input,0.03s,6,0,1,correct
random/000035_000000000105.input,0.03s,26,0,1,correct
random/000035_000000000210.input,0.03s,26,0,1,correct
random/000035_000000000350.input,0.03s,34,0,1,correct
random/000040_000000000048.input,0.03s,7,0,1,correct
random/000040_000000000120.input,0.03s,30,1,1,correct
random/000040_000000000240.input,0.04s,35,1,1,correct
random/000040_000000000400.input,0.06s,36,1,1,correct
random/000045_000000000054.input,0.03s,6,0,1,correct
random/000045_000000000135.input,0.03s,32,1,1,correct
random/000045_000000000270.input,0.04s,39,1,1,correct
random/000045_000000000450.input,0.06s,40,1,1,correct
random/000050_000000000060.input,0.03s,9,0,1,correct
random/000050_000000000150.input,0.03s,42,1,1,correct
random/000050_000000000300.input,0.04s,46,1,1,correct
random/000050_000000000500.input,0.07s,47,1,1,correct
random/000055_000000000066.input,0.03s,8,0,1,correct
random/000055_000000000165.input,0.03s,39,0,1,correct
random/000055_000000000330.input,0.05s,48,1,1,correct
random/000055_000000000550.input,0.04s,49,0,1,correct
random/000060_000000000072.input,0.04s,10,0,1,correct
random/000060_000000000180.input,0.03s,43,1,1,correct
random/000060_000000000360.input,0.04s,50,1,1,correct
random/000060_000000000600.input,0.09s,53,1,1,correct
random/000065_000000000078.input,0.04s,11,0,1,correct
random/000065_000000000195.input,0.03s,49,1,1,correct
random/000065_000000000390.input,0.05s,59,1,1,correct
random/000065_000000000650.input,0.10s,63,1,1,correct
random/000070_000000000084.input,0.03s,12,0,1,correct
random/000070_000000000210.input,0.03s,56,1,1,correct
random/000070_000000000420.input,0.06s,60,1,1,correct
random/000070_000000000700.input,0.11s,67,1,1,correct
random/000075_000000000090.input,0.03s,13,0,1,correct
random/000075_000000000225.input,0.04s,58,2,1,correct
random/000075_000000000450.input,0.06s,68,1,1,correct
random/000075_000000000750.input,0.12s,70,1,1,correct
random/000080_000000000096.input,0.03s,13,0,1,correct
random/000080_000000000240.input,0.03s,62,1,1,correct
random/000080_000000000480.input,0.06s,73,1,1,correct
random/000080_000000000800.input,0.13s,77,1,1,correct
random/000085_000000000102.input,0.03s,16,0,1,correct
random/000085_000000000255.input,0.04s,66,1,1,correct
random/000085_000000000510.input,0.07s,76,1,1,correct
random/000085_000000000850.input,0.15s,82,1,1,correct
random/000090_000000000108.input,0.04s,17,1,1,correct
random/000090_000000000270.input,0.04s,70,2,1,correct
random/000090_000000000540.input,0.07s,78,1,1,correct
random/000090_000000000900.input,0.16s,85,1,1,correct
random/000095_000000000114.input,0.03s,18,1,1,correct
random/000095_000000000285.input,0.04s,78,2,1,correct
random/000095_000000000570.input,0.08s,86,1,1,correct
random/000095_000000000950.input,0.18s,87,1,1,correct
random/000100_000000000120.input,0.03s,20,1,1,correct
random/000100_000000000300.input,0.05s,86,2,1,correct
random/000100_000000000600.input,0.15s,95,2,1,correct
random/000100_000000001000.input,0.21s,96,1,1,correct
random/000200_000000000240.input,0.03s,38,1,1,correct
random/000200_000000000600.input,0.26s,178,6,1,correct
random/000200_000000001200.input,0.58s,194,2,1,correct
random/000200_000000002000.input,1.65s,197,2,1,correct
random/000300_000000000360.input,0.04s,58,1,1,correct
random/000300_000000000900.input,0.49s,283,4,1,correct
random/000300_000000001800.input,1.39s,296,2,1,correct
random/000300_000000003000.input,4.19s,296,2,1,correct
random/000400_000000000480.input,0.05s,78,2,1,correct
random/000400_000000001200.input,1.36s,382,6,1,correct
random/000400_000000002400.input,2.63s,392,2,1,correct
random/000400_000000004000.input,10.71s,396,2,1,correct
random/000500_000000000600.input,0.09s,100,2,1,correct
random/000500_000000001500.input,2.24s,478,6,1,correct
random/000500_000000003000.input,8.02s,498,3,1,correct
random/000500_000000005000.input,22.53s,498,2,1,correct
random/000600_000000000720.input,0.13s,119,2,1,correct
random/000600_000000001800.input,4.60s,582,8,1,correct
random/000600_000000003600.input,15.81s,593,3,1,correct
random/000600_000000006000.input,40.81s,595,2,1,correct
random/000700_000000000840.input,0.19s,140,2,1,correct
random/000700_000000002100.input,15.22s,681,15,1,correct
random/000700_000000004200.input,34.52s,692,4,1,correct
random/000700_000000007000.input,94.93s,696,3,1,correct
random/000800_000000000960.input,0.29s,160,2,1,correct
random/000800_000000002400.input,25.85s,784,17,1,correct
random/000800_000000004800.input,52.49s,795,4,1,correct
random/000800_000000008000.input,135.95s,796,3,1,correct
random/000900_000000001080.input,0.46s,180,3,1,correct
random/000900_000000002700.input,96.99s,872,38,1,correct
random/000900_000000005400.input,74.08s,892,4,1,correct
random/000900_000000009000.input,192.87s,895,3,1,correct
random/001000_000000001200.input,0.42s,199,2,1,correct
random/001000_000000003000.input,187.61s,982,49,1,correct
random/001000_000000006000.input,125.14s,989,5,1,correct
random/001000_000000010000.input,250.21s,997,3,1,correct
dimacs/karate.graph.dimacs,0.03s,14,4,1,correct
dimacs/dolphins.graph.dimacs,0.04s,34,18,1,correct
dimacs/chesapeake.graph.dimacs,0.04s,22,11,1,correct
dimacs/adjnoun.graph.dimacs,0.10s,59,65,1,correct
dimacs/polbooks.graph.dimacs,0.11s,62,70,1,correct
dimacs/football.graph.dimacs,23.41s,94,50321,1,correct
dimacs/celegans_metabolic.graph.dimacs,5.21s,249,250,1,correct
dimacs/jazz.graph.dimacs,2.88s,158,1484,1,correct
dimacs/netscience.graph.dimacs,57.68s,899,389,1,correct
dimacs/email.graph.dimacs,s,0,,0
dimacs/add20.graph.dimacs,110.55s,1265,233,1,correct
dimacs/power.graph.dimacs,s,0,,0
dimacs/uk.graph.dimacs,s,0,,0
dimacs/add32.graph.dimacs,s,0,,0
dimacs/3elt.graph.dimacs,s,0,,0
dimacs/data.graph.dimacs,s,0,,0
dimacs/polblogs.graph.dimacs,87.71s,560,502,1,correct
dimacs/PGPgiantcompo.graph.dimacs,s,0,,0
dimacs/whitaker3.graph.dimacs,s,0,,0
dimacs/crack.graph.dimacs,s,0,,0
dimacs/fe_4elt2.graph.dimacs,s,0,,0
dimacs/as-22july06.graph.dimacs,s,0,,0
snap/as20000102.txt.dimacs,43.29s,1052,6,1,correct
snap/email-Eu-core.txt.dimacs,s,0,,0
snap/ca-GrQc.txt.dimacs,s,0,,0
snap/p2p-Gnutella08.txt.dimacs,73.34s,2054,14,1,correct
snap/ca-HepTh.txt.dimacs,s,0,,0
snap/p2p-Gnutella09.txt.dimacs,235.88s,2574,31,1,correct
snap/p2p-Gnutella06.txt.dimacs,s,0,,0
snap/p2p-Gnutella05.txt.dimacs,s,0,,0
snap/p2p-Gnutella04.txt.dimacs,s,0,,0
snap/p2p-Gnutella25.txt.dimacs,s,0,,0
snap/facebook_combined.txt.dimacs,s,0,,0
snap/ca-CondMat.txt.dimacs,s,0,,0
snap/ca-HepPh.txt.dimacs,s,0,,0
snap/email-Enron.txt.dimacs,s,0,,0
