file,time_in_seconds,solution_size,recursive_steps,first_lower_bound_difference,high_degree_rules,degree_zero_rules,extreme_reduction_rules,degree one rules,degree two rules,domination rules,lower_bounds,finished,solution_size_verified
random/000800_000000008000.input,2.97s,796,0,0,0,796,0,796,0,0,0,0,1,correct
random/000900_000000002700.input,1.44s,872,0,0,0,225,0,225,0,0,0,0,1,correct
random/001000_000000010000.input,4.55s,997,0,0,0,997,0,997,0,0,0,0,1,correct
dimacs/dolphins.graph.dimacs,0.24s,34,0,13,0,27,0,27,0,0,0,3,1,correct
dimacs/chesapeake.graph.dimacs,0.28s,22,0,8,1,26,0,26,0,0,0,3,1,correct
dimacs/football.graph.dimacs,144.94s,94,0,67,0,67597,0,66271,0,0,606,4802,1,correct
dimacs/jazz.graph.dimacs,11.65s,158,0,99,0,8370,0,8326,0,0,12,317,1,correct
dimacs/email.graph.dimacs,s,0,,0
dimacs/add20.graph.dimacs,49.78s,1265,0,755,0,20392,0,20390,0,0,0,82,1,correct
dimacs/polblogs.graph.dimacs,10.84s,560,0,193,0,6124,0,6121,0,0,48,55,1,correct
dimacs/as-22july06.graph.dimacs,7.37s,3303,0,7,0,3384,0,3373,0,0,0,22,1,correct
dimacs/cond-mat.graph.dimacs,s,0,,0
dimacs/astro-ph.graph.dimacs,s,0,,0
dimacs/fe_tooth.graph.dimacs,s,0,,0
snap/as20000102.txt.dimacs,0.53s,1052,0,4,0,1048,0,1048,0,0,0,3,1,correct
snap/ca-GrQc.txt.dimacs,7.84s,2783,0,1270,0,1926,0,1926,0,0,0,3,1,correct
snap/p2p-Gnutella09.txt.dimacs,0.50s,2574,0,0,0,2523,0,2523,0,0,0,0,1,correct
snap/p2p-Gnutella05.txt.dimacs,0.73s,3428,0,0,0,3427,0,3427,0,0,0,2,1,correct
snap/p2p-Gnutella25.txt.dimacs,2.32s,6017,0,0,0,6008,0,6008,0,0,0,0,1,correct
snap/ca-HepPh.txt.dimacs,s,0,,0
snap/email-Enron.txt.dimacs,s,0,,0
snap/soc-sign-Slashdot081106.txt.dimacs,108.45s,19614,0,86,0,19742,0,19742,0,0,0,7,1,correct
snap/soc-sign-Slashdot090216.txt.dimacs,100.06s,21305,0,112,0,21197,0,21197,0,0,0,3,1,correct
snap/soc-Slashdot0811.txt.dimacs,42.46s,24046,0,440,0,23728,0,23728,0,0,0,3,1,correct
snap/soc-sign-epinions.txt.dimacs,s,0,,0
snap/loc-gowalla_edges.txt.dimacs,s,0,,0
