file,time_in_seconds,solution_size,recursive_steps,first_lower_bound_difference,high_degree_rules,degree_zero_rules,extreme_reduction_rules,degree one rules,degree_two_rules,domination_rules,degree_three_rules,lower_bounds,finished,solution_size_verified
random/000800_000000008000.input,2.70s,796,0,0,0,796,0,796,0,0,0,0,1,correct
random/000900_000000002700.input,19.87s,872,0,493,0,599,0,599,260,0,0,1,1,correct
random/001000_000000010000.input,4.18s,997,0,0,0,997,0,997,0,0,0,0,1,correct
dimacs/dolphins.graph.dimacs,0.23s,34,0,10,0,23,0,23,18,4,0,1,1,correct
dimacs/chesapeake.graph.dimacs,0.23s,22,0,7,1,13,0,11,19,4,0,1,1,correct
dimacs/football.graph.dimacs,68.12s,94,0,67,0,3313,0,2556,16239,2391,185,1122,1,correct
dimacs/jazz.graph.dimacs,0.30s,158,0,34,0,19,0,19,47,102,0,2,1,correct
dimacs/email.graph.dimacs,1.40s,594,0,233,0,687,0,671,496,78,24,3,1,correct
dimacs/add20.graph.dimacs,0.45s,1265,0,80,0,1005,0,1005,44,171,0,3,1,correct
dimacs/polblogs.graph.dimacs,0.71s,560,0,123,1,533,0,527,137,21,0,1,1,correct
dimacs/as-22july06.graph.dimacs,6.78s,3303,0,9,0,3288,0,3288,18,2,0,1,1,correct
dimacs/cond-mat.graph.dimacs,36.84s,9436,0,2566,0,4805,0,4805,1187,2260,0,3,1,correct
dimacs/astro-ph.graph.dimacs,26.79s,10230,0,2034,0,4389,0,4389,954,3936,0,3,1,correct
dimacs/fe_tooth.graph.dimacs,
snap/as20000102.txt.dimacs,0.56s,1052,0,4,0,1045,0,1045,3,0,0,3,1,correct
snap/ca-GrQc.txt.dimacs,1.73s,2783,0,659,0,1700,0,1700,304,451,0,3,1,correct
snap/p2p-Gnutella09.txt.dimacs,0.61s,2574,0,0,0,2570,0,2570,0,4,0,0,1,correct
snap/p2p-Gnutella05.txt.dimacs,0.77s,3428,0,0,0,3427,0,3427,0,0,0,1,1,correct
snap/p2p-Gnutella25.txt.dimacs,2.24s,6017,0,1,0,6013,0,6013,3,0,0,1,1,correct
snap/ca-HepPh.txt.dimacs,6.05s,7012,0,1123,0,3767,0,3766,530,2181,0,3,1,correct
snap/email-Enron.txt.dimacs,65.79s,14437,0,3806,0,9126,0,9116,3463,2305,0,2,1,correct
snap/soc-sign-Slashdot081106.txt.dimacs,76.76s,19614,0,80,0,19518,0,19518,44,16,0,3,1,correct
snap/soc-sign-Slashdot090216.txt.dimacs,90.56s,21305,0,113,0,21177,0,21177,62,20,0,3,1,correct
snap/soc-Slashdot0811.txt.dimacs,67.28s,24046,0,375,0,23592,0,23592,193,72,0,3,1,correct
snap/soc-sign-epinions.txt.dimacs,207.91s,28184,0,253,0,27977,0,27966,400,94,5,3,1,correct
snap/loc-gowalla_edges.txt.dimacs,
