,constrained_branching,dom_opt,f_clique_lb,f_clique_lb_c,f_deg2,f_deg2_heur,f_deg3,f_dom,f_lp,f_lp_lb,f_lp_lb_c,lb_opt,lb_opt_c,limit_kern_branch,limit_kern_start,par10
202002090230_run_history,0,1,1,5,1,80000,1,3,1,40000,5,1,1,1,500,12555.669999999998
202002090300_run_history,0,1,40000,5,500,1,1,50,40000,40000,1,1,1,5,3,33379.45
202002090351_run_history,1,1,40000,5,3,1,5,40000,5,1,5,1,1,1,500,24486.279999999995
202002090440_run_history,0,1,40000,1,500,1,40000,50,40000,10,5,1,1,500,3,33161.65000000001
202002090537_run_history,1,1,40000,1,40000,1,40000,40000,1,10,5,1,1,500,500,42033.44
202002090648_run_history,1,1,1,5,50,80000,5,50,1,10,1,1,1,1,3,21685.190000000002
202002090735_run_history,0,1,10,5,500,1,1,3,40000,1,5,1,1,5,500,27735.850000000002
202002090834_run_history,1,1,1,1,3,1,1,1,40000,40000,1,1,1,1,3,6575.91
202002090854_run_history,0,1,10,1,500,80000,5,50,40000,10,5,1,1,500,500,30506.870000000003
202002090953_run_history,0,1,10,1,40000,1,40000,50,40000,40000,5,1,1,1,500,30315.28
202002091047_run_history,0,1,40000,5,40000,1,40000,3,1,40000,1,1,1,1,3,27495.91
202002091141_run_history,0,1,10,5,1,80000,40000,500,1,10,5,1,1,1,500,24371.06
202002091228_run_history,1,1,10,1,3,80000,5,3,1,10,1,1,1,5,500,18542.23
202002091307_run_history,1,1,40000,1,3,1,40000,40000,5,10,1,1,1,5,500,15932.710000000001
202002091349_run_history,0,1,10,5,1,1,40000,500,40000,1,5,1,1,500,3,24470.33
202002091437_run_history,1,1,1,1,50,1,40000,50,1,10,5,1,1,1,3,39085.72
202002091545_run_history,0,1,1,5,3,1,40000,3,5,10,1,1,1,1,500,15795.489999999998
202002091624_run_history,1,1,40000,1,500,80000,5,3,40000,1,1,1,1,1,3,18604.58
202002091704_run_history,0,1,40000,5,1,80000,1,500,1,1,1,1,1,500,3,24654.430000000004
