1: constrained_branching='1', dom_opt='1', f_clique_lb='3', f_clique_lb_c='3', f_deg2='1', f_deg2_heur='1', f_deg3='2', f_dom='2', f_lp='3', f_lp_lb='3', f_lp_lb_c='3', lb_opt='1', lb_opt_c='1', limit_kern_branch='500', limit_kern_start='500'
2: constrained_branching='1', dom_opt='0', f_clique_lb='65', f_clique_lb_c='1', f_deg2='69', f_deg2_heur='96', f_deg3='2', f_dom='8', f_lp='50', f_lp_lb='16', f_lp_lb_c='2', lb_opt='0', lb_opt_c='0', limit_kern_branch='402', limit_kern_start='408'
3: constrained_branching='1', dom_opt='1', f_clique_lb='20', f_clique_lb_c='7', f_deg2='19', f_deg2_heur='93', f_deg3='83', f_dom='30', f_lp='56', f_lp_lb='12', f_lp_lb_c='9', lb_opt='1', lb_opt_c='0', limit_kern_branch='187', limit_kern_start='486'
4: constrained_branching='0', dom_opt='1', f_clique_lb='70', f_clique_lb_c='5', f_deg2='47', f_deg2_heur='5', f_deg3='37', f_dom='43', f_lp='31', f_lp_lb='24', f_lp_lb_c='15', lb_opt='0', lb_opt_c='1', limit_kern_branch='156', limit_kern_start='170'
5: constrained_branching='0', dom_opt='0', f_clique_lb='67', f_clique_lb_c='9', f_deg2='61', f_deg2_heur='55', f_deg3='68', f_dom='6', f_lp='8', f_lp_lb='29', f_lp_lb_c='11', lb_opt='0', lb_opt_c='1', limit_kern_branch='152', limit_kern_start='321'
6: constrained_branching='1', dom_opt='0', f_clique_lb='10', f_clique_lb_c='1', f_deg2='96', f_deg2_heur='5', f_deg3='88', f_dom='43', f_lp='32', f_lp_lb='44', f_lp_lb_c='18', lb_opt='0', lb_opt_c='0', limit_kern_branch='429', limit_kern_start='71'
7: constrained_branching='1', dom_opt='0', f_clique_lb='10', f_clique_lb_c='1', f_deg2='96', f_deg2_heur='5', f_deg3='88', f_dom='13', f_lp='32', f_lp_lb='1', f_lp_lb_c='18', lb_opt='0', lb_opt_c='0', limit_kern_branch='429', limit_kern_start='71'
8: constrained_branching='0', dom_opt='0', f_clique_lb='16', f_clique_lb_c='2', f_deg2='90', f_deg2_heur='74', f_deg3='13', f_dom='5', f_lp='98', f_lp_lb='94', f_lp_lb_c='11', lb_opt='1', lb_opt_c='1', limit_kern_branch='139', limit_kern_start='226'
9: constrained_branching='1', dom_opt='1', f_clique_lb='1', f_clique_lb_c='7', f_deg2='19', f_deg2_heur='93', f_deg3='83', f_dom='30', f_lp='36', f_lp_lb='12', f_lp_lb_c='9', lb_opt='0', lb_opt_c='1', limit_kern_branch='187', limit_kern_start='486'
10: constrained_branching='1', dom_opt='1', f_clique_lb='36', f_clique_lb_c='2', f_deg2='59', f_deg2_heur='79', f_deg3='29', f_dom='96', f_lp='51', f_lp_lb='76', f_lp_lb_c='11', lb_opt='0', lb_opt_c='1', limit_kern_branch='482', limit_kern_start='423'
11: constrained_branching='1', dom_opt='1', f_clique_lb='2', f_clique_lb_c='2', f_deg2='50', f_deg2_heur='79', f_deg3='59', f_dom='47', f_lp='39', f_lp_lb='32', f_lp_lb_c='2', lb_opt='1', lb_opt_c='1', limit_kern_branch='405', limit_kern_start='423'
12: constrained_branching='0', dom_opt='0', f_clique_lb='51', f_clique_lb_c='16', f_deg2='86', f_deg2_heur='7', f_deg3='65', f_dom='82', f_lp='62', f_lp_lb='86', f_lp_lb_c='15', lb_opt='1', lb_opt_c='1', limit_kern_branch='155', limit_kern_start='267'
