1: constrained_branching='1', dom_opt='1', f_clique_lb='3', f_deg2='1', f_deg2_heur='1', f_deg3='2', f_dom='2', f_lp='3', f_lp_lb='3', limit_kern_branch='1000', limit_kern_start='1000'
2: constrained_branching='1', dom_opt='1', f_clique_lb='12332', f_deg2='13246', f_deg2_heur='3550', f_deg3='35236', f_dom='36532', f_lp='24507', f_lp_lb='22771', limit_kern_branch='35090', limit_kern_start='28230'
3: constrained_branching='1', dom_opt='1', f_clique_lb='7795', f_deg2='12492', f_deg2_heur='7393', f_deg3='37171', f_dom='33165', f_lp='11805', f_lp_lb='22272', limit_kern_branch='4495', limit_kern_start='16904'
4: constrained_branching='1', dom_opt='0', f_clique_lb='6643', f_deg2='8785', f_deg2_heur='28463', f_deg3='24881', f_dom='6302', f_lp='38198', f_lp_lb='24046', limit_kern_branch='7758', limit_kern_start='22759'
5: constrained_branching='1', dom_opt='0', f_clique_lb='27668', f_deg2='21422', f_deg2_heur='4893', f_deg3='15610', f_dom='7516', f_lp='18809', f_lp_lb='30478', limit_kern_branch='8258', limit_kern_start='14814'
6: constrained_branching='0', dom_opt='1', f_clique_lb='1665', f_deg2='8367', f_deg2_heur='37750', f_deg3='7951', f_dom='828', f_lp='39330', f_lp_lb='25005', limit_kern_branch='7126', limit_kern_start='33097'
7: constrained_branching='0', dom_opt='1', f_clique_lb='22512', f_deg2='35826', f_deg2_heur='37879', f_deg3='12779', f_dom='36123', f_lp='4640', f_lp_lb='21698', limit_kern_branch='21969', limit_kern_start='33986'
8: constrained_branching='0', dom_opt='1', f_clique_lb='1909', f_deg2='25695', f_deg2_heur='14984', f_deg3='19432', f_dom='14081', f_lp='17463', f_lp_lb='38639', limit_kern_branch='679', limit_kern_start='7779'
9: constrained_branching='0', dom_opt='0', f_clique_lb='39711', f_deg2='39605', f_deg2_heur='9718', f_deg3='27592', f_dom='4654', f_lp='35736', f_lp_lb='35060', limit_kern_branch='16045', limit_kern_start='19274'
10: constrained_branching='0', dom_opt='1', f_clique_lb='3354', f_deg2='2768', f_deg2_heur='14390', f_deg3='19552', f_dom='9522', f_lp='10117', f_lp_lb='370', limit_kern_branch='5909', limit_kern_start='17344'
11: constrained_branching='0', dom_opt='0', f_clique_lb='15228', f_deg2='30649', f_deg2_heur='17988', f_deg3='7234', f_dom='37984', f_lp='30123', f_lp_lb='29106', limit_kern_branch='8531', limit_kern_start='18969'
12: constrained_branching='1', dom_opt='1', f_clique_lb='18977', f_deg2='10884', f_deg2_heur='33405', f_deg3='25707', f_dom='32668', f_lp='27562', f_lp_lb='28701', limit_kern_branch='35059', limit_kern_start='24715'
13: constrained_branching='0', dom_opt='1', f_clique_lb='16079', f_deg2='21956', f_deg2_heur='30353', f_deg3='33090', f_dom='34527', f_lp='39045', f_lp_lb='5192', limit_kern_branch='37216', limit_kern_start='15365'
14: constrained_branching='1', dom_opt='0', f_clique_lb='636', f_deg2='7942', f_deg2_heur='12040', f_deg3='3186', f_dom='22720', f_lp='8920', f_lp_lb='18963', limit_kern_branch='24935', limit_kern_start='14779'
15: constrained_branching='0', dom_opt='1', f_clique_lb='1965', f_deg2='38010', f_deg2_heur='11958', f_deg3='1337', f_dom='14537', f_lp='15955', f_lp_lb='23608', limit_kern_branch='27495', limit_kern_start='292'
16: constrained_branching='1', dom_opt='0', f_clique_lb='39742', f_deg2='16954', f_deg2_heur='931', f_deg3='6557', f_dom='16072', f_lp='19982', f_lp_lb='30988', limit_kern_branch='25214', limit_kern_start='36650'
17: constrained_branching='0', dom_opt='0', f_clique_lb='15275', f_deg2='35971', f_deg2_heur='9320', f_deg3='21203', f_dom='28673', f_lp='4691', f_lp_lb='12949', limit_kern_branch='12231', limit_kern_start='20310'
18: constrained_branching='1', dom_opt='0', f_clique_lb='5114', f_deg2='25815', f_deg2_heur='30718', f_deg3='2238', f_dom='17036', f_lp='24882', f_lp_lb='25472', limit_kern_branch='30733', limit_kern_start='1628'
19: constrained_branching='1', dom_opt='1', f_clique_lb='20954', f_deg2='16282', f_deg2_heur='4975', f_deg3='5803', f_dom='36232', f_lp='24782', f_lp_lb='15668', limit_kern_branch='33740', limit_kern_start='33722'
20: constrained_branching='1', dom_opt='1', f_clique_lb='1316', f_deg2='17581', f_deg2_heur='11231', f_deg3='12992', f_dom='5359', f_lp='17013', f_lp_lb='852', limit_kern_branch='10205', limit_kern_start='12991'
21: constrained_branching='1', dom_opt='1', f_clique_lb='15944', f_deg2='9138', f_deg2_heur='9747', f_deg3='30856', f_dom='18546', f_lp='6037', f_lp_lb='3187', limit_kern_branch='17622', limit_kern_start='1556'
22: constrained_branching='0', dom_opt='1', f_clique_lb='13912', f_deg2='20822', f_deg2_heur='15028', f_deg3='29387', f_dom='22753', f_lp='19954', f_lp_lb='30073', limit_kern_branch='11464', limit_kern_start='39159'
23: constrained_branching='0', dom_opt='0', f_clique_lb='452', f_deg2='21095', f_deg2_heur='10246', f_deg3='20215', f_dom='5679', f_lp='20811', f_lp_lb='3337', limit_kern_branch='3244', limit_kern_start='21342'
24: constrained_branching='0', dom_opt='0', f_clique_lb='2002', f_deg2='18015', f_deg2_heur='36858', f_deg3='1936', f_dom='5428', f_lp='23980', f_lp_lb='35767', limit_kern_branch='37594', limit_kern_start='16121'
25: constrained_branching='1', dom_opt='1', f_clique_lb='26198', f_deg2='39574', f_deg2_heur='27953', f_deg3='2992', f_dom='7654', f_lp='32229', f_lp_lb='8522', limit_kern_branch='11006', limit_kern_start='12189'
26: constrained_branching='1', dom_opt='0', f_clique_lb='14185', f_deg2='8945', f_deg2_heur='12014', f_deg3='23394', f_dom='5248', f_lp='39948', f_lp_lb='37208', limit_kern_branch='28167', limit_kern_start='7405'
27: constrained_branching='1', dom_opt='0', f_clique_lb='1870', f_deg2='11744', f_deg2_heur='35105', f_deg3='497', f_dom='31921', f_lp='21370', f_lp_lb='29578', limit_kern_branch='32961', limit_kern_start='21240'
28: constrained_branching='0', dom_opt='0', f_clique_lb='28079', f_deg2='8777', f_deg2_heur='26710', f_deg3='23630', f_dom='10903', f_lp='18702', f_lp_lb='27066', limit_kern_branch='39176', limit_kern_start='27893'
29: constrained_branching='1', dom_opt='1', f_clique_lb='14578', f_deg2='1525', f_deg2_heur='21473', f_deg3='22778', f_dom='20711', f_lp='27188', f_lp_lb='8943', limit_kern_branch='28543', limit_kern_start='7437'
30: constrained_branching='1', dom_opt='1', f_clique_lb='34722', f_deg2='31770', f_deg2_heur='33128', f_deg3='13545', f_dom='4674', f_lp='29402', f_lp_lb='1937', limit_kern_branch='29395', limit_kern_start='13154'
31: constrained_branching='0', dom_opt='0', f_clique_lb='8900', f_deg2='25008', f_deg2_heur='16403', f_deg3='33212', f_dom='28778', f_lp='20789', f_lp_lb='12146', limit_kern_branch='12190', limit_kern_start='3614'
32: constrained_branching='1', dom_opt='0', f_clique_lb='2438', f_deg2='25145', f_deg2_heur='33270', f_deg3='37460', f_dom='1656', f_lp='15866', f_lp_lb='31', limit_kern_branch='29689', limit_kern_start='14768'
33: constrained_branching='0', dom_opt='0', f_clique_lb='37876', f_deg2='7079', f_deg2_heur='26119', f_deg3='32062', f_dom='39039', f_lp='9003', f_lp_lb='34117', limit_kern_branch='34414', limit_kern_start='26645'
34: constrained_branching='0', dom_opt='1', f_clique_lb='382', f_deg2='16920', f_deg2_heur='14390', f_deg3='12313', f_dom='9522', f_lp='10117', f_lp_lb='370', limit_kern_branch='5909', limit_kern_start='12777'
35: constrained_branching='0', dom_opt='0', f_clique_lb='19492', f_deg2='358', f_deg2_heur='29018', f_deg3='15979', f_dom='24376', f_lp='30676', f_lp_lb='801', limit_kern_branch='34435', limit_kern_start='19678'
36: constrained_branching='1', dom_opt='1', f_clique_lb='19496', f_deg2='14160', f_deg2_heur='30674', f_deg3='36613', f_dom='31045', f_lp='23231', f_lp_lb='36072', limit_kern_branch='29685', limit_kern_start='19993'
37: constrained_branching='0', dom_opt='0', f_clique_lb='7080', f_deg2='20839', f_deg2_heur='26087', f_deg3='8343', f_dom='10692', f_lp='26686', f_lp_lb='23554', limit_kern_branch='8831', limit_kern_start='22543'
38: constrained_branching='1', dom_opt='1', f_clique_lb='28468', f_deg2='31428', f_deg2_heur='1322', f_deg3='17424', f_dom='10001', f_lp='18559', f_lp_lb='28758', limit_kern_branch='36065', limit_kern_start='7834'
39: constrained_branching='0', dom_opt='0', f_clique_lb='17566', f_deg2='19922', f_deg2_heur='23822', f_deg3='26717', f_dom='6261', f_lp='18314', f_lp_lb='30314', limit_kern_branch='21261', limit_kern_start='8842'
40: constrained_branching='0', dom_opt='0', f_clique_lb='36368', f_deg2='15615', f_deg2_heur='30898', f_deg3='25542', f_dom='9809', f_lp='34270', f_lp_lb='16799', limit_kern_branch='21952', limit_kern_start='16144'
41: constrained_branching='1', dom_opt='1', f_clique_lb='14499', f_deg2='24622', f_deg2_heur='30334', f_deg3='26983', f_dom='16242', f_lp='36781', f_lp_lb='2656', limit_kern_branch='15983', limit_kern_start='9725'
42: constrained_branching='0', dom_opt='0', f_clique_lb='11555', f_deg2='18841', f_deg2_heur='3955', f_deg3='23449', f_dom='32447', f_lp='23744', f_lp_lb='36112', limit_kern_branch='20359', limit_kern_start='13455'
