Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,25,77.66,0,300.0,-1,77.66,0.0,1,0.0,0,77.66,SAT,,78.082,
2,1,1,1.6,0,300.0,-1,1.6,0.0,1,0.0,1,79.25999999999999,SAT,,2.045,
3,2,1,1.65,0,3.0826006535172463,-1,1.65,0.0,1,0.0,1,80.91,SAT,,2.021,
4,1,16,299.35,0,300.0,-1,299.35,0.0,1,0.0,1,380.26,SAT,,300.239,
5,3,1,1.55,0,3.0826006535172463,-1,1.55,0.0,1,0.0,1,381.81,SAT,,2.041,
6,3,25,77.48,0,300.0,-1,77.48,0.0,1,0.0,1,459.29,SAT,,78.097,
7,3,16,300.0,0,300.0,-1,0.0,0.0,0,0.0,1,459.29,TIMEOUT,,303.254,
8,1,7,300.0,0,300.0,-1,0.0,0.0,0,0.0,2,459.29,TIMEOUT,,303.277,
9,4,1,1.52,0,3.0826006535172463,-1,1.52,0.0,1,0.0,2,460.81,SAT,,2.04,
10,4,16,302.01,0,300.0,-1,302.01,0.0,1,0.0,2,762.8199999999999,SAT,,302.241,
11,1,9,300.0,0,300.0,-1,0.0,0.0,0,0.0,2,762.8199999999999,TIMEOUT,,303.291,
12,5,7,300.0,0,300.0,-1,0.0,0.0,0,0.0,2,762.8199999999999,TIMEOUT,,303.291,
13,5,25,78.22,0,104.04320024733545,-1,78.22,0.0,1,0.0,2,841.04,SAT,,80.083,
14,5,1,1.52,0,2.3572005782008167,-1,1.52,0.0,1,0.0,2,842.56,SAT,,2.037,
15,1,17,1.38,0,300.0,-1,1.38,0.0,1,0.0,3,843.9399999999999,SAT,,2.06,
16,6,7,300.0,0,300.0,-1,0.0,0.0,0,0.0,3,843.9399999999999,TIMEOUT,,303.284,
17,6,25,78.22,0,300.0,-1,78.22,0.0,1,0.0,3,922.16,SAT,,80.085,
18,6,9,300.0,0,300.0,-1,0.0,0.0,0,0.0,3,922.16,TIMEOUT,,303.291,
