"Problem Instance","Seed","Objective of validation config #1"
"vc-test/test-instances/000800_000000008000.input.dimacs","-1","1.69"
"vc-test/test-instances/000900_000000002700.input.dimacs","-1","1.16"
"vc-test/test-instances/001000_000000010000.input.dimacs","-1","2.75"
"vc-test/test-instances/add20.graph.dimacs","-1","0.23"
"vc-test/test-instances/as-22july06.graph.dimacs","-1","2.66"
"vc-test/test-instances/as20000102.txt.dimacs","-1","0.37"
"vc-test/test-instances/astro-ph.graph.dimacs","-1","42.62"
"vc-test/test-instances/ca-GrQc.txt.dimacs","-1","2.9"
"vc-test/test-instances/ca-HepPh.txt.dimacs","-1","59.49"
"vc-test/test-instances/chesapeake.graph.dimacs","-1","0.14"
"vc-test/test-instances/cond-mat.graph.dimacs","-1","3.16"
"vc-test/test-instances/dolphins.graph.dimacs","-1","0.16"
"vc-test/test-instances/email-Enron.txt.dimacs","-1","5.79"
"vc-test/test-instances/email.graph.dimacs","-1","0.39"
"vc-test/test-instances/fe_tooth.graph.dimacs","-1","300.0"
"vc-test/test-instances/football.graph.dimacs","-1","223.62"
"vc-test/test-instances/jazz.graph.dimacs","-1","0.3"
"vc-test/test-instances/loc-gowalla_edges.txt.dimacs","-1","300.0"
"vc-test/test-instances/p2p-Gnutella05.txt.dimacs","-1","0.45"
"vc-test/test-instances/p2p-Gnutella09.txt.dimacs","-1","0.38"
"vc-test/test-instances/p2p-Gnutella25.txt.dimacs","-1","1.5"
"vc-test/test-instances/polblogs.graph.dimacs","-1","0.32"
"vc-test/test-instances/soc-Slashdot0811.txt.dimacs","-1","34.45"
"vc-test/test-instances/soc-sign-Slashdot081106.txt.dimacs","-1","55.17"
"vc-test/test-instances/soc-sign-Slashdot090216.txt.dimacs","-1","61.2"
"vc-test/test-instances/soc-sign-epinions.txt.dimacs","-1","124.11"
