"Validation Configuration ID:1","Instance","OverallObjective","Run #1"
"","vc-test/test-instances/000900_000000005400.input.dimacs","1.54","1.54"
"","vc-test/test-instances/000900_000000009000.input.dimacs","3.55","3.55"
"","vc-test/test-instances/001000_000000003000.input.dimacs","7.0","7.0"
"","vc-test/test-instances/add32.graph.dimacs","7.19","7.19"
"","vc-test/test-instances/adjnoun.graph.dimacs","0.42","0.42"
"","vc-test/test-instances/ca-AstroPh.txt.dimacs","3000.0","300.0"
"","vc-test/test-instances/ca-CondMat.txt.dimacs","3000.0","300.0"
"","vc-test/test-instances/ca-HepTh.txt.dimacs","3000.0","300.0"
"","vc-test/test-instances/celegans_metabolic.graph.dimacs","1.58","1.58"
"","vc-test/test-instances/cond-mat-2005.graph.dimacs","3000.0","300.0"
"","vc-test/test-instances/crack.graph.dimacs","3000.0","300.0"
"","vc-test/test-instances/email-Eu-core.txt.dimacs","17.43","17.43"
"","vc-test/test-instances/fe_ocean.graph.dimacs","3000.0","300.0"
"","vc-test/test-instances/karate.graph.dimacs","0.13","0.13"
"","vc-test/test-instances/memplus.graph.dimacs","170.4","170.4"
"","vc-test/test-instances/netscience.graph.dimacs","1.63","1.63"
"","vc-test/test-instances/p2p-Gnutella04.txt.dimacs","1.18","1.18"
"","vc-test/test-instances/p2p-Gnutella06.txt.dimacs","0.86","0.86"
"","vc-test/test-instances/p2p-Gnutella08.txt.dimacs","0.58","0.58"
"","vc-test/test-instances/power.graph.dimacs","3000.0","300.0"
"","vc-test/test-instances/soc-Epinions1.txt.dimacs","3000.0","300.0"
"","vc-test/test-instances/soc-Slashdot0902.txt.dimacs","3000.0","300.0"
"","vc-test/test-instances/soc-sign-Slashdot090221.txt.dimacs","3000.0","300.0"
"","Overall Objective On Test Set","1313.63"
